HousingType,facility_type,mode,Tr,mean,std,count
Public Housing,Ss,walking,5,0.004351882231655951,0.007518363039002002,78
Public Housing,Ss,walking,10,0.007208314373986879,0.009151310142895839,78
Public Housing,Ss,walking,15,0.007490375716691822,0.008678472794819996,78
Transitional Housing,Hos,driving,15,2.916468631208813,1.5797294666306858,30
Transitional Housing,Hos,driving,30,1.6608090041101762,0.12016846210822224,30
Transitional Housing,Hos,driving,60,1.5149497253373454,0.02502528224990149,30
Transitional Housing,Hos,transit,15,865.9814695468715,2254.4963760159153,30
Transitional Housing,Hos,transit,30,2.4096091370260266,1.3972758842175048,30
Transitional Housing,Hos,transit,60,1.6626768040836333,0.1605182266593033,30
Transitional Housing,Hos,walking,5,1396.7043642374838,6866.550535735282,30
Transitional Housing,Hos,walking,10,95.79084060056901,225.96355661207878,30
Transitional Housing,Hos,walking,15,6.486599159701504,9.773305401141021,30
Transitional Housing,Kin,driving,15,0.05065034962618201,0.011138466011077621,30
Transitional Housing,Kin,driving,30,0.03300559588223029,0.0013445999617936993,30
Transitional Housing,Kin,driving,60,0.03047944416450694,0.00028803523165588714,30
Transitional Housing,Kin,transit,15,36.61975003077121,87.97992291201301,30
Transitional Housing,Kin,transit,30,0.05611776097355815,0.03424719142510706,30
Transitional Housing,Kin,transit,60,0.03527184965659688,0.0039107127748507445,30
Transitional Housing,Kin,walking,5,13.110958694882202,32.63718591967454,30
Transitional Housing,Kin,walking,10,2.8480255062441264,13.468053366982751,30
Transitional Housing,Kin,walking,15,0.09661601483113666,0.10561179370735974,30
Transitional Housing,OS,driving,15,0.5528716764688323,0.27809780641162946,30
Transitional Housing,OS,driving,30,0.6601729369735998,0.05666666103858881,30
Transitional Housing,OS,driving,60,0.6762937738624953,0.01104876188170776,30
Transitional Housing,OS,transit,15,5.679912819551851,25.938325545825247,30
Transitional Housing,OS,transit,30,1.3329544946777054,1.1680899110030862,30
Transitional Housing,OS,transit,60,0.8614250195616618,0.10896695170625872,30
Transitional Housing,OS,walking,5,2.542965056162854,8.93854588893069,30
Transitional Housing,OS,walking,10,0.7564702362377932,1.2808427441642671,30
Transitional Housing,OS,walking,15,0.4942008229878214,0.4835040721511892,30
Transitional Housing,Pri,driving,15,0.010643330132527025,0.002350456164614816,30
Transitional Housing,Pri,driving,30,0.006140529808475092,0.00024311172858323274,30
Transitional Housing,Pri,driving,60,0.005474655179886791,5.105808119772371e-05,30
Transitional Housing,Pri,transit,15,6.996447263563157,18.94158513574929,30
Transitional Housing,Pri,transit,30,0.009726344604342527,0.005414277078832898,30
Transitional Housing,Pri,transit,60,0.006215050726386199,0.0007176393550846716,30
Transitional Housing,Pri,walking,5,0.5200836779953917,1.9923110049840453,30
Transitional Housing,Pri,walking,10,0.10642037114880411,0.40242628102072664,30
Transitional Housing,Pri,walking,15,0.04146517721426689,0.14353143027770482,30
Transitional Housing,Ss,driving,15,0.017036184688100045,0.004766292827752041,30
Transitional Housing,Ss,driving,30,0.008822552264241518,0.0005663166385142943,30
Transitional Housing,Ss,driving,60,0.00783959845400241,0.00011686824043249052,30
Transitional Housing,Ss,transit,15,0.24747472827255493,0.767168404861645,30
Transitional Housing,Ss,transit,30,0.03909084457368941,0.03111155968109536,30
Transitional Housing,Ss,transit,60,0.008904624153156734,0.0010865813862792765,30
Transitional Housing,Ss,walking,5,2.9331369615790535,10.21436560966418,30
Transitional Housing,Ss,walking,10,2.6831463749294837,9.5724844799057,30
Transitional Housing,Ss,walking,15,1.3681805570277734,5.094884791576774,30
