origin_id,mode,facility_type,Tr,AF_k,P_i,dc_eng,Housing_type,t_pop,age_1,t_mmearn,Latitude,Longitude
PH_001,walking,Hos,5,0,1,Sham Shui Po,PH,3913,327,13000,22.34036661,114.1643426
PH_002,walking,Hos,5,0,1,Sham Shui Po,PH,3209,521,14000,22.33455573,114.1563831
PH_003,walking,Hos,5,0,1,Wong Tai Sin,PH,3923,399,15700,22.3357047,114.2181498
PH_004,walking,Hos,5,0,1,Kwun Tong,PH,10775,1218,14750,22.32815005,114.2170403
PH_005,walking,Hos,5,0,1,Kwun Tong,PH,5453,375,15920,22.32605888,114.2174838
PH_006,walking,Hos,5,0,1,Wong Tai Sin,PH,17817,869,15000,22.33547117,114.2062267
PH_007,walking,Hos,5,0,1,Kwun Tong,PH,13588,1284,14500,22.33026916,114.2136127
PH_008,walking,Hos,5,0,1,Wong Tai Sin,PH,16756,1258,15000,22.33399414,114.2140005
PH_009,walking,Hos,5,0,1,Wong Tai Sin,PH,8485,803,16000,22.33408462,114.2170388
PH_010,walking,Hos,5,0,1,Kwun Tong,PH,9682,761,14600,22.32796205,114.2152899
PH_011,walking,Hos,5,0,1,Wong Tai Sin,PH,16989,1077,15500,22.3466113,114.1933683
PH_012,walking,Hos,5,0,1,Wong Tai Sin,PH,14147,1107,14000,22.34423127,114.1919055
PH_013,walking,Hos,5,0,1,Sham Shui Po,PH,4587,406,14500,22.33551212,114.1539241
PH_014,walking,Hos,5,0.307589544,1,Sham Shui Po,PH,15655,1013,15000,22.3284513,114.1546811
PH_015,walking,Hos,5,0,1,Wong Tai Sin,PH,5572,559,15000,22.34269378,114.2089072
PH_016,walking,Hos,5,0,1,Wong Tai Sin,PH,12066,713,15000,22.34425863,114.2007507
PH_017,walking,Hos,5,0,1,Kwun Tong,PH,6467,361,15000,22.31294732,114.2383853
PH_018,walking,Hos,5,0,1,Kowloon City,PH,12329,850,15000,22.3163317,114.1819302
PH_019,walking,Hos,5,0,1,Yau Tsim Mong,PH,9540,907,15000,22.31608676,114.1647109
PH_020,walking,Hos,5,0,1,Sham Shui Po,PH,16071,1292,15000,22.33240958,114.1462482
PH_021,walking,Hos,5,0,1,Sham Shui Po,PH,3415,841,13200,22.32975855,114.150291
PH_022,walking,Hos,5,0,1,Sham Shui Po,PH,3444,790,14000,22.32861818,114.1483264
PH_023,walking,Hos,5,0,1,Kowloon City,PH,6744,804,14000,22.3079093,114.1892738
PH_024,walking,Hos,5,0,1,Kowloon City,PH,11876,1737,14000,22.33259506,114.2030695
PH_025,walking,Hos,5,0.371105245,1,Kwun Tong,PH,5866,604,14310,22.30919925,114.2347695
