origin_id,mode,facility_type,Tr,AF_k,P_i,dc_eng,Housing_type,t_pop,age_1,t_mmearn,Latitude,Longitude
PH_031,walking,Kindergarten,5,0.6710490857407105,403,Sham Shui Po,PH,3534,403,15000,22.33129743,114.158689
PH_032,walking,Kindergarten,5,0.186165399371396,1625,Sham Shui Po,PH,10438,1625,17000,22.33373995,114.1549363
PH_033,walking,Kindergarten,5,0,838,Kwun Tong,PH,7907,838,15000,22.31088938,114.2363044
PH_034,walking,Kindergarten,5,1.0892351274787535,706,Sham Shui Po,PH,11259,706,14500,22.33873777,114.1597527
PH_035,walking,Kindergarten,5,0.4167741935483871,775,Kwun Tong,PH,9662,775,15000,22.29385108,114.2402382
PH_036,walking,Kindergarten,5,0.384765625,512,Wong Tai Sin,PH,9944,512,14000,22.33748532,114.187319
PH_037,walking,Kindergarten,5,0.2077733123860345,543,Kwun Tong,PH,8499,543,15000,22.32142482,114.2200767
PH_038,walking,Kindergarten,5,0.032328660994657595,729,Kwun Tong,PH,13258,729,14500,22.32052259,114.2205098
PH_039,walking,Kindergarten,5,0,1388,Kwun Tong,PH,11426,1388,14000,22.32165352,114.2154421
PH_040,walking,Kindergarten,5,0.24512938134531653,580,Wong Tai Sin,PH,11295,580,15500,22.33904376,114.1948243
PH_041,walking,Kindergarten,5,0.12987012987012986,1463,Wong Tai Sin,PH,18247,1463,15000,22.34017739,114.1926891
PH_042,walking,Kindergarten,5,1.4418100819976472,511,Kowloon City,PH,4942,511,13000,22.32329866,114.1869599
PH_043,walking,Kindergarten,5,0,500,Wong Tai Sin,PH,4411,500,14850,22.33325498,114.1890826
PH_044,walking,Kindergarten,5,0.7401812688821752,331,Sham Shui Po,PH,4684,331,15000,22.32610707,114.1577264
PH_045,walking,Kindergarten,5,0,524,Sham Shui Po,PH,6208,524,15500,22.33417458,114.17115
PH_046,walking,Kindergarten,5,0.062316715542522,1364,Kowloon City,PH,17407,1364,15000,22.31229006,114.1785491
PH_047,walking,Kindergarten,5,0.03588175331294598,4905,Kwun Tong,PH,24618,4905,15000,22.3272648,114.2291594
PH_048,walking,Kindergarten,5,0.10695035460992908,3525,Kwun Tong,PH,23341,3525,14500,22.32076943,114.2350825
PH_049,walking,Kindergarten,5,0.21266968325791855,1326,Sham Shui Po,PH,16843,1326,15000,22.33692876,114.1670269
PH_050,walking,Kindergarten,5,0.3928571428571429,756,Kwun Tong,PH,11985,756,15000,22.33303823,114.2091046
PH_051,walking,Kindergarten,5,0.5890358404242149,1234,Kwun Tong,PH,14753,1234,15000,22.30685942,114.2366629
PH_052,walking,Kindergarten,5,0.1241413150147203,2038,Kwun Tong,PH,22319,2038,15000,22.31719641,114.237906
PH_053,walking,Kindergarten,5,0.0915324985092427,3354,Kwun Tong,PH,35277,3354,15000,22.31930218,114.2320151
PH_054,walking,Kindergarten,5,0,327,Wong Tai Sin,PH,3063,327,14000,22.34983826,114.1951275
PH_055,walking,Kindergarten,5,0.19952176484856074,2832,Sham Shui Po,PH,25561,2832,14500,22.33303267,114.1663168
PH_056,walking,Kindergarten,5,0,1005,Kwun Tong,PH,11404,1005,14000,22.331874,114.2251915
PH_057,walking,Kindergarten,5,1.408977556109726,401,Kwun Tong,PH,6991,401,14000,22.32833266,114.2260561
PH_058,walking,Kindergarten,5,0.069164265129683,1388,Kwun Tong,PH,17926,1388,15000,22.32555627,114.226441
PH_059,walking,Kindergarten,5,0.07883338146116084,3463,Sham Shui Po,PH,18748,3463,13200,22.34122473,114.1567751
