origin_id,mode,facility_type,Tr,AF_k,P_i
H_014,walking,Hos,5,553.5616744016197,32.2
H_015,walking,Hos,5,127.01288484306744,202.4
H_016,walking,Hos,5,0.0,4.6
H_017,walking,Hos,5,15.061859368843336,163.3
H_018,walking,Hos,5,0.0,87.4
H_019,walking,Hos,5,136.71185778430447,168.0
H_020,walking,Hos,5,0.0,106.0
H_021,walking,Hos,5,0.0,162.0
H_022,walking,Hos,5,0.0,1600.0
H_023,walking,Hos,5,0.0,1090.0
H_024,walking,Hos,5,0.0,220.0
H_025,walking,Hos,5,1.2936776169352313,400.0
H_026,walking,Hos,5,0.0,509.0
H_027,walking,Hos,5,0.0,388.0
H_028,walking,Hos,5,0.0,612.0
H_029,walking,Hos,5,0.0,1460.0
H_030,walking,Hos,5,0.0,774.0
PV_001,walking,Hos,5,0.0,10791.0
PV_002,walking,Hos,5,0.0,4367.0
PV_003,walking,Hos,5,0.0,6515.0
PV_004,walking,Hos,5,0.0,3265.0
PV_005,walking,Hos,5,0.0,3873.0
PV_006,walking,Hos,5,0.0,5035.0
PV_007,walking,Hos,5,0.0,5276.0
PV_008,walking,Hos,5,0.0,4964.0
PV_009,walking,Hos,5,0.0,4400.0
PV_010,walking,Hos,5,0.0,3329.0
PV_011,walking,Hos,5,0.0,6704.0
PV_012,walking,Hos,5,10.99244302346259,3249.0
PV_013,walking,Hos,5,0.0,6236.0
PV_014,walking,Hos,5,8.142210289014521,6634.0
PV_015,walking,Hos,5,0.0,3928.0
PV_016,walking,Hos,5,7.688670588132062,11801.0
PV_017,walking,Hos,5,0.0,22319.0
PV_018,walking,Hos,5,0.0,12664.0
PV_019,walking,Hos,5,0.0,6009.0
PV_020,walking,Hos,5,0.0,8696.0
PV_021,walking,Hos,5,0.0,3140.0
PV_022,walking,Hos,5,0.0,3189.0
PV_023,walking,Hos,5,0.0,37299.0
PV_024,walking,Hos,5,13.974354178781024,3421.0
PV_025,walking,Hos,5,0.0,7887.0
PV_026,walking,Hos,5,0.0,2781.0
PV_027,walking,Hos,5,0.0,2777.0
PV_028,walking,Hos,5,0.0,5005.0
PV_029,walking,Hos,5,0.0,4651.0
PV_030,walking,Hos,5,46.50097799511003,4090.0
PV_031,walking,Hos,5,0.0,4396.0
PV_032,walking,Hos,5,0.0,9645.0
PV_033,walking,Hos,5,0.0,12357.0
PV_034,walking,Hos,5,0.0,5678.0
PV_035,walking,Hos,5,0.0,5802.0
PV_036,walking,Hos,5,1.6551422079137799,2567.0
PV_037,walking,Hos,5,0.0,3476.0
PV_038,walking,Hos,5,0.0,13142.0
PV_039,walking,Hos,5,25.130514705882355,3264.0
PV_040,walking,Hos,5,0.0,4472.0
PV_041,walking,Hos,5,0.0,5604.0
PV_042,walking,Hos,5,0.0,4002.0
PV_043,walking,Hos,5,0.0,6647.0
PV_044,walking,Hos,5,0.0,30038.0
PV_045,walking,Hos,5,0.0,6746.0
PH_001,walking,Hos,10,0.0,3913.0
PH_002,walking,Hos,10,4.684506666809006,3209.0
PH_003,walking,Hos,10,0.0,3923.0
PH_004,walking,Hos,10,0.0,10775.0
PH_005,walking,Hos,10,0.0,5453.0
PH_006,walking,Hos,10,0.0,17817.0
PH_007,walking,Hos,10,0.0,13588.0
PH_008,walking,Hos,10,0.0,16756.0
PH_009,walking,Hos,10,0.0,8485.0
PH_010,walking,Hos,10,0.0,9682.0
PH_011,walking,Hos,10,2.6763337550441713,16989.0
PH_012,walking,Hos,10,1.91686099482396,14147.0
PH_013,walking,Hos,10,0.049528242159326975,4587.0
PH_014,walking,Hos,10,0.6516038583240172,15655.0
PH_015,walking,Hos,10,3.932706320014846,5572.0
PH_016,walking,Hos,10,0.6423949764425759,12066.0
PH_017,walking,Hos,10,0.0,6467.0
PH_018,walking,Hos,10,0.0,12329.0
PH_019,walking,Hos,10,0.0,9540.0
PH_020,walking,Hos,10,0.0,16071.0
PH_021,walking,Hos,10,0.35946990009667507,3415.0
PH_022,walking,Hos,10,0.0,3444.0
PH_023,walking,Hos,10,1.4129566919324739,6744.0
PH_024,walking,Hos,10,0.12195381136409598,11876.0
PH_025,walking,Hos,10,3.294728273984505,5866.0
PH_026,walking,Hos,10,1.471009829526842,8869.0
PH_027,walking,Hos,10,0.0,6419.0
PH_028,walking,Hos,10,0.0,3185.0
PH_029,walking,Hos,10,0.0,7165.0
PH_030,walking,Hos,10,6.036432327299596,6200.0
PH_031,walking,Hos,10,8.123032441693546,3534.0
PH_032,walking,Hos,10,1.0282288325850844,10438.0
PH_033,walking,Hos,10,1.8283311421681074,7907.0
PH_034,walking,Hos,10,2.347286802813635,11259.0
PH_035,walking,Hos,10,0.0,9662.0
PH_036,walking,Hos,10,3.197198556303664,9944.0
PH_037,walking,Hos,10,0.0,8499.0
PH_038,walking,Hos,10,0.6339490560377499,13258.0
PH_039,walking,Hos,10,1.1250723214189031,11426.0
PH_040,walking,Hos,10,0.0,11295.0
PH_041,walking,Hos,10,0.0,18247.0
PH_042,walking,Hos,10,0.0,4942.0
PH_043,walking,Hos,10,1.7367322746282812,4411.0
PH_044,walking,Hos,10,0.10831571333258243,4684.0
PH_045,walking,Hos,10,1.2695332704829876,6208.0
PH_046,walking,Hos,10,0.0,17407.0
PH_047,walking,Hos,10,0.5862863281582981,24618.0
PH_048,walking,Hos,10,0.0,23341.0
PH_049,walking,Hos,10,0.0,16843.0
PH_050,walking,Hos,10,0.0,11985.0
PH_051,walking,Hos,10,0.9781282382992206,14753.0
PH_052,walking,Hos,10,0.0,22319.0
PH_053,walking,Hos,10,0.0,35277.0
PH_054,walking,Hos,10,1.403268470801637,3063.0
PH_055,walking,Hos,10,1.198271270956998,25561.0
PH_056,walking,Hos,10,1.2071532816862112,11404.0
PH_057,walking,Hos,10,1.6232580038302318,6991.0
PH_058,walking,Hos,10,0.8273583203742378,17926.0
PH_059,walking,Hos,10,5.286055408093574,18748.0
PH_060,walking,Hos,10,1.7262307579282243,4696.0
PH_061,walking,Hos,10,1.3912913850897843,18720.0
PH_062,walking,Hos,10,0.0,13612.0
