ID,選校編號 Choice Code,"學    校    名    稱
Name of School",授課時間 Session,學校類別 School Type,資助類別 Finance Type,"宗教
Religion","**暫定統一派位學額 Provisional Number of Places for
Central
Allocation","學    校    地    址        ( 電  話 號  碼  )
School Address (Telephone Number)",map_latitude,map_longitude
PS_099,4603,"佐敦谷聖若瑟天主教小學    (S) (P)
Jordan Valley St Joseph’s Catholic Primary School","全日
whole-day","男女
co-ed","資助
aided","天主教
Catholicism",43,"九龍觀塘彩霞道８０號    (2305 0061) 80 Choi Ha Road, Kwun Tong, Kln",22.32865223,114.2138371
PS_100,4604,浸信宣道會呂明才小學    (S) (P) CB Lui Ming Choi Primary School,"全日
whole-day","男女
co-ed","資助
aided","基督教
Protestantism/ Christianity",60,"九龍觀塘彩霞道７８號    (2754 7024) 78 Choi Ha Road, Kwun Tong, Kln",22.32942868,114.2146042
PS_101,4605,"坪石天主教小學    (S) (P) (#8)
Ping Shek Estate Catholic Primary School","全日
whole-day","男女
co-ed","資助
aided","天主教
Catholicism",85,"九龍觀塘坪石邨第一校舍    (2321 2988)
Estate School No. 1, Ping Shek Estate, Kwun Tong, Kln",22.33413451,114.2105576
PS_102,4606,天主教柏德學校    (S) (P) Bishop Paschang Catholic School,"全日
whole-day","男女
co-ed","資助
aided","天主教
Catholicism",80,"九龍九龍灣宏照道６號    (2799 3003) 6 Wang Chiu Road, Kowloon Bay, Kln",22.32868057,114.2078579
PS_103,4607,"聖公會九龍灣基樂小學    (S) (P)
SKH Kowloon Bay Kei Lok Primary School","全日
whole-day","男女
co-ed","資助
aided","基督教
Protestantism/ Christianity",76,"九龍九龍灣啟仁街６號    (2796 9393) 6 Kai Yan Street, Kowloon Bay, Kln",22.32889762,114.2061593
PS_104,4608,"九龍灣聖若翰天主教小學    (S) (P)
Kowloon Bay St John The Baptist Catholic Primary School","全日
whole-day","男女
co-ed","資助
aided","天主教
Catholicism",54,"九龍觀塘啟業道２３號    (2343 2311) 23 Kai Yip Road, Kwun Tong, Kln",22.32787606,114.2117306
PS_105,4609,"香港道教聯合會雲泉學校    (S) (P)
Hong Kong Taoist Association Wun Tsuen School","全日
whole-day","男女
co-ed","資助
aided","道教
Taoism",62,"九龍觀塘安茵街２號    (2757 0854) 2 On Yan Street, Kwun Tong, Kln",22.32767252,114.2297265
PS_106,4801,"觀塘官立小學（秀明道）    (S) (P)
Kwun Tong Government Primary School (Sau Ming Road)","全日
whole-day","男女
co-ed","官立
govt",,53,"九龍觀塘秀茂坪秀明道１３０號    (2709 2220) 130 Sau Ming Road, Sau Mau Ping, Kwun Tong, Kln",22.31526305,114.2339729
PS_107,4802,"觀塘官立小學    (S)
Kwun Tong Government Primary School","全日
whole-day","男女
co-ed","官立
govt",,72,"九龍觀塘牛頭角道２４０號    (2756 0762) 240 Ngau Tau Kok Road, Kwun Tong, Kln",22.31645087,114.2181142
PS_108,4803,"聖公會李兆強小學    (S) (P)
SKH Lee Shiu Keung Primary School","全日
whole-day","男女
co-ed","資助
aided","基督教
Protestantism/ Christianity",62,"九龍觀塘藍田平田邨安田街第一校舍    (2346 5430)
School No 1, On Tin Street, Ping Tin Estate, Lam Tin, Kwun Tong, Kln",22.30683636,114.2371139
PS_109,4804,"聖公會德田李兆強小學    (S) (P)
SKH Tak Tin Lee Shiu Keung Primary School","全日
whole-day","男女
co-ed","資助
aided","基督教
Protestantism/ Christianity",43,"九龍觀塘藍田慶田街３號    (2775 9338)
No. 3 Hing Tin Street, Lam Tin, Kwun Tong, Kln",22.31089113,114.237038
PS_110,4805,"閩僑小學    (S) (P)
Man Kiu Association Primary School","全日
whole-day","男女
co-ed","資助
aided",,50,"九龍牛頭角上邨（安善道）    (2757 0490)
On Shin Road, Upper Ngau Tau Kok Estate, Kln",22.31985553,114.2176007
PS_111,4806,"聖若翰天主教小學    (S) (P)
St John The Baptist Catholic Primary School","全日
whole-day","男女
co-ed","資助
aided","天主教
Catholicism",50,"九龍觀塘宜安街２９號    (2389 0428) 29 Yee On Street, Kwun Tong, Kln",22.31532977,114.2229667
PS_112,4807,"樂善堂楊仲明學校    (S) (P)
LST Yeung Chung Ming Primary School","全日
whole-day","男女
co-ed","資助
aided",,55,"九龍牛頭角樂華南邨    (2755 9195)
Lok Wah South Estate, Ngau Tau Kok, Kln",22.32028748,114.2232401
PS_113,4808,聖公會基樂小學    (S) (P) SKH Kei Lok Primary School,"全日
whole-day","男女
co-ed","資助
aided","基督教
Protestantism/ Christianity",50,"九龍牛頭角樂華邨第一期    (2755 5611) Lok Wah Estate, Phase 1, Ngau Tau Kok, Kln",22.32028839,114.2199691
PS_114,4809,聖公會基顯小學    (S) (P) SKH Kei Hin Primary School,"全日
whole-day","男女
co-ed","資助
aided","基督教
Protestantism/ Christianity",50,"九龍牛頭角上邨（安善道）    (2750 7771)
On Shin Road, Upper Ngau Tau Kok Estate, Kln",22.31802239,114.2173187
PS_115,4810,中華基督教會基法小學（油塘）    (S) (P) CCC Kei Faat Primary School (Yau Tong),"全日
whole-day","男女
co-ed","資助
aided","基督教
Protestantism/ Christianity",60,"九龍油塘油塘道２５號    (2389 5458) 25 Yau Tong Road, Yau Tong, Kln",22.29973039,114.2340151
PS_116,4811,"聖公會油塘基顯小學    (S) (P)
SKH Yautong Kei Hin Primary School","全日
whole-day","男女
co-ed","資助
aided","基督教
Protestantism/ Christianity",64,"九龍油塘油塘道２３號    (2757 0322) 23 Yau Tong Road, Yau Tong, Kln",22.30005503,114.2353059
PS_117,4812,"藍田循道衛理小學    (S) (P)
Lam Tin Methodist Primary School","全日
whole-day","男女
co-ed","資助
aided","基督教
Protestantism/ Christianity",62,"九龍觀塘藍田平田邨安田街    (2346 1033)
On Tin Street, Ping Tin Estate, Lam Tin, Kwun Tong, Kln",22.30711636,114.2369879
PS_118,4813,"香港道教聯合會圓玄學院陳呂重德紀念學校
(S) (P)
HK Taoist Assn The Yuen Yuen Institute Chan Lui Chung Tak Memorial School","全日
whole-day","男女
co-ed","資助
aided","道教
Taoism",94,"九龍油塘高超道    (2709 9978) Ko Chiu Road, Yau Tong, Kln",22.30052294,114.2398091
PS_119,4814,"聖愛德華天主教小學    (S) (P)
St Edward’s Catholic Primary School","全日
whole-day","男女
co-ed","資助
aided","天主教
Catholicism",62,"九龍觀塘藍田慶田街８號    (2717 9585)
8 Hing Tin Street, Lam Tin, Kwun Tong, Kln",22.31178493,114.2376595
PS_120,4815,"樂華天主教小學    (S) (P)
Lok Wah Catholic Primary School","全日
whole-day","男女
co-ed","資助
aided","天主教
Catholicism",50,"九龍觀塘振華道８１號    (2758 5767) 81 Chun Wah Road, Kwun Tong, Kln",22.32176893,114.221707
PS_121,4816,"基督教聖約教會堅樂小學    (S) (P)
The Mission Covenant Church Holm Glad Primary School","全日
whole-day","男女
co-ed","資助
aided","基督教
Protestantism/ Christianity",75,"九龍觀塘秀茂坪邨秀明道７７號    (2757 4566)
77 Sau Ming Road, Sau Mau Ping Estate, Kwun Tong, Kln",22.32077241,114.2319466
PS_122,4817,"秀明小學    (S) (P)
Sau Ming Primary School","全日
whole-day","男女
co-ed","資助
aided",,63,"九龍觀塘秀茂坪秀豐街５號    (2349 3478)
5 Sau Fung Street, Sau Mau Ping, Kwun Tong, Kln",22.31948073,114.232839
PS_123,4818,"路德會聖馬太學校（秀茂坪）    (S) (P)
St Matthew’s Lutheran School (Sau Mau Ping)","全日
whole-day","男女
co-ed","資助
aided","基督教
Protestantism/ Christianity",47,"九龍觀塘秀茂坪秀明道１２３號    (2772 3797) 123 Sau Ming Road, Sau Mau Ping, Kwun Tong, Kln",22.31677132,114.2335173
PS_124,4819,"秀茂坪天主教小學    (S) (P)
Sau Mau Ping Catholic Primary School","全日
whole-day","男女
co-ed","資助
aided","天主教
Catholicism",101,"九龍觀塘寶達邨    (2348 4218) Po Tat Estate, Kwun Tong, Kln",22.31760993,114.2369341
PS_125,4820,中華基督教會基法小學    (S) CCC Kei Faat Primary School,"全日
whole-day","男女
co-ed","資助
aided","基督教
Protestantism/ Christianity",25,"九龍觀塘月華街３４號    (2341 8088) 34 Yuet Wah Street, Kwun Tong, Kln",22.31244765,114.2275079
PS_126,4821,"聖安當小學    (S) (P)
St Antonius Primary School","全日
whole-day","男女
co-ed","資助
aided","天主教
Catholicism",54,"九龍油塘油塘道１號    (2348 4283) 1 Yau Tong Road, Yau Tong, Kln",22.30161676,114.2368593
PS_127,4822,"天主教佑華小學    (S) (P)
Our Lady of China Catholic Primary School","全日
whole-day","男女
co-ed","資助
aided","天主教
Catholicism",70,"九龍觀塘翠屏邨第四期    (2348 2366) Tsui Ping Estate, Phase IV, Kwun Tong, Kln",22.31306982,114.2304295
PS_128,4823,"聖公會聖約翰曾肇添小學    (S) (P)
SKH St John’s Tsang Shiu Tim Primary School","全日
whole-day","男女
co-ed","資助
aided","基督教
Protestantism/ Christianity",62,"九龍觀塘安翠街１１號    (2322 6125) 11 On Chui Street, Kwun Tong, Kln",22.31991275,114.2368769
