ID,選校編號 Choice Code,"學    校    名    稱
Name of School",授課時間 Session,學校類別 School Type,資助類別 Finance Type,"宗教
Religion","**暫定統一派位學額 Provisional Number of Places for
Central
Allocation","學    校    地    址        ( 電  話 號  碼  )
School Address (Telephone Number)",map_latitude,map_longitude
PS_023,3405,"九龍靈光小學    (S)
Emmanuel Primary School, Kowloon","全日
whole-day","男女
co-ed","資助
aided","基督教
Protestantism/
Christianity",39,"九龍馬頭圍盛德街３６—３８號  * (2711 1232)
36-38 Shing Tak Street, Ma Tau Wai, Kln",22.32410465,114.1879492
PS_024,3406,基督教香港信義會紅磡信義學校    (S) ELCHK Hung Hom Lutheran Primary School,"全日
whole-day","男女
co-ed","資助
aided","基督教
Protestantism/
Christianity",24,"九龍炮仗街３９號  *    (2712 1543) 39 Pau Chung Street, Kln",22.31834313,114.1879973
PS_025,3407,協恩中學附屬小學    (S) (F) (P) Heep Yunn Primary School,"全日
whole-day","女
girls","資助
aided","基督教
Protestantism/
Christianity",34,"九龍農圃道１號    (2711 1263) 1 Farm Road, Kln",22.32172074,114.1853187
PS_026,3408,"聖公會牧愛小學    (S)
SKH Good Shepherd Primary School","全日
whole-day","男女
co-ed","資助
aided",基督教 Protestantism/ Christianity,25,"九龍土瓜灣馬頭圍道１７１號    (2712 3094) 171 Ma Tau Wai Road, To Kwa Wan, Kln",22.31810835,114.1878808
PS_027,3409,"天主教領島學校    (S)
Ling To Catholic Primary School","全日
whole-day","男女
co-ed","資助
aided","天主教
Catholicism",84,"九龍愛民邨俊民苑  *    (2713 9233) Chun Man Court, Oi Man Estate, Kln",22.31473126,114.1793202
PS_028,3410,"馬頭涌官立小學    (S) (P)
Ma Tau Chung Government Primary School","全日
whole-day","男女
co-ed","官立
govt",,58,"九龍土瓜灣福祥街１號    (2711 5548) 1 Fuk Cheung Street, To Kwa Wan, Kln",22.32460141,114.1868136
PS_029,3411,"農圃道官立小學    (S) (P)
Farm Road Government Primary School","全日
whole-day","男女
co-ed","官立
govt",,47,"九龍土瓜灣農圃道８號    (2711 0682 ) 8 Farm Road, To Kwa Wan, Kln",22.32079051,114.1866678
PS_030,3412,"聖羅撒學校    (S) (P)
St Rose of Lima’s School","全日
whole-day","女
girls","資助
aided","天主教
Catholicism",47,"九龍基堤道４號    (2338 2807) 4 Embankment Road, Kln",22.32629946,114.1750593
PS_031,3413,"合一堂學校    (S)
Hop Yat Church School","全日
whole-day","男女
co-ed","資助
aided",基督教 Protestantism/ Christianity,49,"九龍公主道７號    (2711 2440) 7 Princess Margaret Road, Kln",22.32079982,114.1794465
PS_032,3414,"獻主會聖馬善樂小學    (S)
St. Eugene de Mazenod Oblate Primary School","全日
whole-day","男女
co-ed","資助
aided","天主教
Catholicism",61,"九龍土瓜灣天光道２４號    (2715 1011) 24 Tin Kwong Road, To Kwa Wan, Kln",22.31984234,114.1860465
PS_033,3415,獻主會小學    (S) (P) Oblate Primary School,"全日
whole-day","男女
co-ed","資助
aided","天主教
Catholicism",50,"九龍土瓜灣順風街１號    (2364 8375) 1 Shun Fung Street, To Kwa Wan, Kln",22.31583232,114.1918212
PS_034,3416,"保良局何壽南小學    (S) (P)
PLK Stanley Ho Sau Nan Primary School","全日
whole-day","男女
co-ed","資助
aided",,37,"九龍九龍城沐虹街１１號    (2326 2627) 11 Muk Hung Street, Kowloon City, Kln",22.33137231,114.204432
PS_035,3417,聖公會聖十架小學    (S) (P) SKH Holy Cross Primary School,"全日
whole-day","男女
co-ed","資助
aided","基督教
Protestantism/ Christianity",58,"九龍九龍城沐虹街９號    (2320 4931) 9 Muk Hung Street, Kowloon City, Kln",22.33240181,114.2043448
PS_036,3418,浸信會天虹小學    (S) (P) (#2) Baptist Rainbow Primary School,"全日
whole-day","男女
co-ed","資助
aided","基督教
Protestantism/ Christianity",62,"九龍九龍城沐安街（暫定）    (2328 7971) Muk On Street, Kowloon City, Kln (Tentative)",22.34468521,114.1897468
PS_037,3501,"天神嘉諾撒學校    (S) (#3) (U5)
Holy Angels Canossian School","全日
whole-day","女
girls","資助
aided","天主教
Catholicism",35,"九龍紅磡鶴園街２１號    (2362 4448)
21 Hok Yuen Street, Hung Hom, Kln",22.31061305,114.1862789
PS_038,3502,"馬頭涌官立小學（紅磡灣）    (S) (P)
Ma Tau Chung Government Primary School (Hung Hom Bay)","全日
whole-day","男女
co-ed","官立
govt",,62,"九龍紅磡灣愛景街３號    (2363 8989) 3 Oi King Street, Hung Hom Bay, Kln",22.30237703,114.1878893
PS_039,3503,"聖公會奉基小學    (S)
SKH Fung Kei Primary School","全日
whole-day","男女
co-ed","資助
aided","基督教
Protestantism/
Christianity",50,"九龍紅磡黃埔花園德定街４號    (2764 8909)
4 Tak Ting Street, Whampoa Garden, Hung Hom,
Kln",22.3047789,114.191393
PS_040,3504,聖公會奉基千禧小學    (S) (P) SKH Fung Kei Millennium Primary School,"全日
whole-day","男女
co-ed","資助
aided",基督教 Protestantism/ Christianity,47,"九龍紅磡黃埔花園德定街２號    (2362 7123)
2 Tak Ting Street, Whampoa Garden, Hung Hom,
Kln",22.30442672,114.1912571
PS_041,3505,"葛量洪校友會黃埔學校    (S) (P)
GCEPSA Whampoa Primary School","全日
whole-day","男女
co-ed","資助
aided",,97,"九龍紅磡黃埔花園德安街３０號    (2334 3673)
30 Tak On Street, Whampoa Garden, Hung Hom, Kln",22.3033069,114.1914899
PS_042,3506,"黃埔宣道小學    (S) (P)
Alliance Primary School, Whampoa","全日
whole-day","男女
co-ed","資助
aided",基督教 Protestantism/ Christianity,47,"九龍紅磡黃埔花園德豐街２１號    (2336 7742) 21 Tak Fung Street, Whampoa Garden, Hung Hom, Kln",22.30319858,114.1909367
PS_043,3507,"聖公會聖提摩太小學    (S)
SKH St Timothy’s Primary School","全日
whole-day","男女
co-ed","資助
aided",基督教 Protestantism/ Christianity,72,"九龍紅磡鶴園街１４及１９號    (2362 5953) 14 & 19 Hok Yuen Street, Hung Hom, Kln",22.31073041,114.1869
PS_044,4001,"大坑東宣道小學
Alliance Primary School, Tai Hang Tung","全日
whole-day","男女
co-ed","資助
aided","基督教
Protestantism/ Christianity",73,"九龍大坑東棠蔭街１３及２３號    (2777 8949) 13 & 23 Tong Yam Street, Tai Hang Tung, Kln",22.33112166,114.1701379
PS_045,4002,"聖公會聖安德烈小學    (P)
SKH St Andrew’s Primary School","全日
whole-day","男女
co-ed","資助
aided","基督教
Protestantism/ Christianity",85,"九龍深水埗海麗街３號    (2959 1551) 3 Hoi Lai Street, Sham Shui Po, Kln",22.33075792,114.1474629
PS_046,4003,"五邑工商總會學校    (S)
Five Districts Busi Wel Assn School","全日
whole-day","男女
co-ed","資助
aided",,58,"九龍深水埗永康街７０號    (2307 1017) 70 Wing Hong Street, Sham Shui Po, Kln",22.34101778,114.1545763
PS_047,4004,"聖公會基福小學    (P)
SKH Kei Fook Primary School","全日
whole-day","男女
co-ed","資助
aided","基督教
Protestantism/ Christianity",85,"九龍深水埗長沙灣道５５５號    (2387 1121) 555 Cheung Sha Wan Road, Sham Shui Po, Kln",22.33649342,114.1542082
PS_048,4005,"香港四邑商工總會新會商會學校    (S)
HK Sze Yap C & I Assn San Wui Commercial Society School","全日
whole-day","男女
co-ed","資助
aided",,39,"九龍大坑東棠蔭街２１號    (2777 9515) 21 Tong Yam Street, Tai Hang Tung, Kln",22.33078753,114.1701476
PS_049,4006,"福榮街官立小學    (S) (P)
Fuk Wing Street Government Primary School","全日
whole-day","男女
co-ed","官立
govt",,63,"九龍深水埗福榮街２３１號    (2728 7627) 231 Fuk Wing Street, Sham Shui Po, Kln",22.33405581,114.1594406
PS_050,4007,"長沙灣天主教小學    (S)
Cheung Sha Wan Catholic Primary School","全日
whole-day","男女
co-ed","資助
aided","天主教
Catholicism",38,"九龍長沙灣東京街７號    (2776 1423) 7 Tonkin Street, Cheung Sha Wan, Kln",22.33398314,114.1558685
PS_051,4008,"天主教善導小學    (S)
Good Counsel Catholic Primary School","全日
whole-day","男女
co-ed","資助
aided","天主教
Catholicism",78,"九龍深水埗廣利道９號    (2386 5392) 9 Kwong Lee Road, Sham Shui Po, Kln",22.34038627,114.1597116
PS_052,4009,瑪利諾神父教會學校（小學部）    (S) (P) Maryknoll Fathers’ School (Primary Section),"全日
whole-day","男女
co-ed","資助
aided","天主教
Catholicism",36,"九龍深水埗海麗街１１號    (2778 8235) 11 Hoi Lai Street, Sham Shui Po, Kln",22.3314349,114.1458029
PS_053,4010,深水埔街坊福利會小學    (S) Shamshuipo K/F Wel Assn Primary School,"全日
whole-day","男女
co-ed","資助
aided",,38,"九龍汝州街８８號３至６樓    (2381 9504) 2-5/F, 88 Yu Chau Street, Kln",22.32743689,114.1649936
PS_054,4011,"聖公會聖多馬小學    (P)
SKH St Thomas’ Primary School","全日
whole-day","男女
co-ed","資助
aided","基督教
Protestantism/ Christianity",45,"九龍深水埗東沙島街１４５號    (2779 3076) 145 Pratas Street, Sham Shui Po, Kln",22.33440788,114.1583728
PS_055,4012,"聖方濟愛德小學    (P)
St Francis of Assisi’s Caritas School","全日
whole-day","男女
co-ed","資助
aided","天主教
Catholicism",53,"九龍石硤尾偉智街７號    (2777 2752) 7 Wai Chi Street, Shek Kip Mei, Kln",22.33289154,114.1677693
PS_056,4013,基督教香港信義會深信學校    (S) (#4) The ELCHK Faith Lutheran School,"全日
whole-day","男女
co-ed","資助
aided",基督教 Protestantism/ Christianity,25,"九龍石硤尾培德街８號及石硤尾
南昌街２２１號    (2779 0106, 2779 2744)
8 Pui Tak Street, Shek Kip Mei & 221 Nam Cheong Street, Shek Kip Mei, Kln",22.33541091,114.165255
PS_057,4014,"寶血會嘉靈學校    (P)
Ka Ling School of The Precious Blood","全日
whole-day","男女
co-ed","資助
aided","天主教
Catholicism",73,"九龍深水埗海壇街２８０號    (2386 4542) 280 Hai Tan Street, Sham Shui Po, Kln",22.3301633,114.1566553
PS_058,4015,"旅港開平商會學校    (S)
Hoi Ping Chamber of Com Primary School","全日
whole-day","男女
co-ed","資助
aided",,38,"九龍荔枝角道７００號    (2387 5605) 700 Lai Chi Kok Road, Kln",22.33435306,114.1534611
PS_059,4016,荔枝角天主教小學    (P) Laichikok Catholic Primary School,"全日
whole-day","男女
co-ed","資助
aided","天主教
Catholicism",70,"九龍深水埗興華街西６號    (2743 3836)
6 Hing Wah Street West, Sham Shui Po, Kln",22.33330484,114.1491611
PS_060,4017,"深水埗官立小學    (S) (P)
Sham Shui Po Government Primary School","全日
whole-day","男女
co-ed","官立
govt",,106,"九龍深水埗深旺道１０１號    (2959 0555) 101 Sham Mong Road, Sham Shui Po, Kln",22.33323233,114.1476468
PS_061,4018,"聖公會聖紀文小學
SKH St Clement’s Primary School","全日
whole-day","男女
co-ed","資助
aided","基督教
Protestantism/ Christianity",56,"九龍長沙灣幸福街５號    (2361 5663) 5 Fortune Street, Cheung Sha Wan, Kln",22.33483171,114.1536745
PS_062,4019,聖公會基愛小學    (S) SKH Kei Oi Primary School,"全日
whole-day","男女
co-ed","資助
aided","基督教
Protestantism/ Christianity",50,"九龍廣利道１５號    (2386 2463) 15 Kwong Lee Road, Kln",22.33947429,114.1607699
PS_063,4020,"中華基督教會協和小學（長沙灣）    (P)
CCC Heep Woh Primary School (Cheung Sha Wan)","全日
whole-day","男女
co-ed","資助
aided",基督教 Protestantism/ Christianity,69,"九龍深水埗東京街１８號    (2111 9099) 18 Tonkin Street, Sham Shui Po, Kln",22.33461554,114.1579651
PS_064,4021,"李鄭屋官立小學    (S) (P)
Li Cheng Uk Government Primary School","全日
whole-day","男女
co-ed","官立
govt",,32,"九龍深水埗東京街４３號    (2386 8049) 43 Tonkin Street, Sham Shui Po, Kln",22.33821896,114.1600323
PS_065,4022,郭怡雅神父紀念學校    (S) (#5) Father Cucchiara Memorial School,"全日
whole-day","男女
co-ed","資助
aided","天主教
Catholicism",96,"九龍深水埗連翔道（暫定）    (2495 1922)
Lin Cheung Road, Sham Shui Po, Kln (Tentative)",22.34819283,114.1075595
PS_066,4101,"拔萃小學    (F)
Diocesan Preparatory School","全日
whole-day","男女
co-ed","資助
aided","基督教
Protestantism/
Christianity",26,"九龍九龍塘志士達道１號及３號  (2336 1448) 1 & 3 Chester Road, Kowloon Tong, Kln",22.32919827,114.1790001
PS_067,4102,"喇沙小學    (P)
La Salle Primary School","全日
whole-day","男
boys","資助
aided","天主教
Catholicism",84,"九龍九龍塘喇沙利道１號Ｄ    (2336 2609)
1D La Salle Road, Kowloon Tong, Kln",22.32752757,114.1812035
PS_068,4103,"華德學校    (S) (P)
Bishop Walsh Primary School","全日
whole-day","男女
co-ed","資助
aided","天主教
Catholicism",47,"九龍聯合道１５０號    (2337 2058) 150 Junction Road, Kln",22.33484204,114.1876298
PS_069,4104,"九龍塘官立小學    (S) (P)
Kowloon Tong Government Primary School","全日
whole-day","男女
co-ed","官立
govt",,54,"九龍九龍塘添福道６號    (2336 0991) 6 Tim Fuk Road, Kowloon Tong, Kln",22.33588091,114.178476
PS_070,4105,瑪利諾修院學校（小學部）    (F) Maryknoll Convent School (Primary Section),"全日
whole-day","女
girls","資助
aided","天主教
Catholicism",71,"九龍九龍塘窩打老道１３０號    (2336 0611) 130 Waterloo Road, Kowloon Tong, Kln",22.32757277,114.179068
PS_071,4106,耀山學校    (S) Iu Shan School,"全日
whole-day","男女
co-ed","資助
aided",,15,"九龍嘉林邊道２４號    (2336 2115) 24 Grampian Road, Kln",22.33007395,114.1867267
PS_072,4107,"嘉諾撒聖家學校    (P)
Holy Family Canossian School","全日
whole-day","女
girls","資助
aided","天主教
Catholicism",42,"九龍九龍城聯合道１０２號    (2382 1035) 102 Junction Road, Kowloon City, Kln",22.33118468,114.1872412
PS_073,4108,"嘉諾撒聖家學校（九龍塘）    (P)
Holy Family Canossian School (Kowloon Tong)","全日
whole-day","女
girls","資助
aided","天主教
Catholicism",56,"九龍九龍塘添福路８號    (2336 5981) 8 Tim Fuk Road, Kowloon Tong, Kln",22.33647692,114.1786119
PS_074,4109,"中華基督教會基華小學（九龍塘）
CCC Kei Wa Primary School (Kowloon Tong)","全日
whole-day","男女
co-ed","資助
aided",基督教 Protestantism/ Christianity,56,"九龍九龍塘牛津道１號Ｂ    (2267 6676) 1B Oxford Road, Kowloon Tong, Kln",22.32965881,114.1804367
PS_075,4110,"九龍塘天主教華德學校    (S) (P)
Kowloon Tong Bishop Walsh Catholic School","全日
whole-day","男女
co-ed","資助
aided","天主教
Catholicism",50,"九龍延文禮士道３９號    (2337 3768) 39 Inverness Road, Kln",22.33449896,114.1862416
PS_076,4301,聖博德學校    (S) (P) St Patrick’s School,"全日
whole-day","男女
co-ed","資助
aided","天主教
Catholicism",50,"九龍橫頭磡富美東街１２號    (2337 0133) 12 Fu Mei Street East, Wang Tau Hom , Kln",22.3383729,114.1889308
PS_077,4302,"福德學校    (S) (B)
Bishop Ford Memorial School","全日
whole-day","男女
co-ed","資助
aided","天主教
Catholicism",87,"九龍東頭村培民街２０號  *    (2336 0206) 20 Pui Man Street, Tung Tau Tsuen, Kln",22.33513987,114.1900857
