facility_group,mode,Tr,origin_id,AF_k,P_i_x,id,Project_name,Type,Address,No_of_units,No_of_residents,Latitude,Longitude,Remarks,P_i_y
Pri,walking,5,H_019,0.0,51.0,H_019,Completed Projects (Conversion of Non-residential Buildings),Completed Projects (Conversion of Non-residential Buildings),"63 Lung Kong Road, Kowloon City",51,168.0,22.33032199307013,114.19034887757957,,51.0
Pri,walking,5,H_020,3.451612903225806,31.0,H_020,“James’ Garden” at Junction of Chatham Road North and Hok Yuen Street,Completed Projects (Conversion of Non-residential Buildings),23 Hok Yuen Street,31,106.0,22.31072233466476,114.18587989386256,,31.0
Pri,walking,5,H_021,0.0,89.0,H_021,“Nam Cheong 220”,Completed Projects (Newly-built Projects),23 Nam Cheong Street,89,162.0,22.327120276803647,114.16081692017994,,89.0
Pri,walking,5,H_022,0.0,721.0,H_022,"“Kai Fook Kui” at Area 1B3, Muk On Street, Kai Tak",Completed Projects (Newly-built Projects),"Area 1B3, Muk On Street, Kai Tak",721,1600.0,22.328115501531983,114.20307349480436,,721.0
Pri,walking,5,H_023,0.0,491.0,H_023,"“Good Mansion” at Hung Lok Road, Hung Hom",Completed Projects (Newly-built Projects),"9 Hung Lok Road, Hung Hom",491,1090.0,22.30289399310305,114.18565087987363,,491.0
Pri,walking,5,H_024,0.0,110.0,H_024,"“LST Housing” at Sung Wong Toi Road, To Kwa Wan",Completed Projects (Newly-built Projects),"Sung Wong Toi Road, To Kwa Wan",110,220.0,22.322230800604657,114.19413509544434,,110.0
Pri,walking,5,H_025,0.0,140.0,H_025,"“Tenacity Residence” at Ying Wa Street, Cheung Sha Wan",Completed Projects (Newly-built Projects),6 Ying Wa Street,140,400.0,22.33089430937634,114.15261119339247,,140.0
Pri,walking,5,H_026,0.0,281.0,H_026,"“James’ Concourse” at Yen Chow Street , Sham Shui Po",Completed Projects (Newly-built Projects),"1A Yen Chow Street, Sham Shui Po",281,509.0,22.328024080026637,114.15730908292618,,281.0
Pri,walking,5,H_027,0.0,132.0,H_027,"“Shun Ting Terraced Home” at Cheung Shun Street, Cheung Sha Wan",Completed Projects (Newly-built Projects),915 Cheung Sha Wan Road,132,388.0,22.336261035442227,114.1456682441262,,132.0
Pri,walking,5,H_028,0.0,227.0,H_028,“Ho Yuet Home” at Wong Tai Sin Road,Completed Projects (Newly-built Projects),"Ho Yuet Home, Wong Tai Sin Road",227,612.0,22.34275843590141,114.19448653364658,,227.0
Pri,walking,5,H_029,0.0,519.0,H_029,"“T-Loft@Kai Tak” at Muk On Street, Kai Tak",Completed Projects (Newly-built Projects),"12 Muk On Street, Kai Tak",519,1460.0,22.329988253500552,114.20206677006496,,519.0
Pri,walking,5,H_030,0.0,329.0,H_030,"“LST Housing” at Choi Hing Road, Ngau Tau Kok",Completed Projects (Newly-built Projects),"21 Choi Hing Road, Ngau Tau Kok, Kowloon",329,774.0,22.33168510104312,114.21740112685418,,329.0
Pri,walking,10,H_001,3.714661852800022,18.0,H_001,“Joyard” Transitional Housing Project at Hung Hom,Completed Projects (Projects in Existing Residential Buildings),"5/F and 6/F, Sheng Kung Hui Holy Carpenter Church & Community Centre, 1 Dyer Avenue, Hung Hom",18,41.0,22.307562811028166,114.1878114768805,,18.0
Pri,walking,10,H_002,4.500613103821172,9.0,H_002,"Lai Chi Kok Road, Tai Kok Tsui",Completed Projects (Projects in Existing Residential Buildings),421 Lai Chi Kok Road,9,20.7,22.33060808403042,114.1579704527733,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",9.0
Pri,walking,10,H_003,1.2530848624445086,49.0,H_003,"“James’ Court” at Soy Street, Mong Kok",Completed Projects (Projects in Existing Residential Buildings),"20 Soy Street, Mong Kok",49,112.7,22.31692548934092,114.16980854107668,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",49.0
Pri,walking,10,H_004,3.188238267566995,53.0,H_004,"“Home Plus” at Ha Heung Road, To Kwa Wan",Completed Projects (Projects in Existing Residential Buildings),"79 Ha Heung Road, To Kwa Wan",53,121.9,22.31796718527946,114.18925605559144,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",53.0
Pri,walking,10,H_005,2.0525104450561518,60.0,H_005,“Good Homes” at To Kwa Wan Road,Completed Projects (Projects in Existing Residential Buildings),76 To Kwa Wan Road,60,138.0,22.31642384826867,114.18941895047124,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",60.0
Pri,walking,10,H_006,22.350607038488263,15.0,H_006,"Castle Peak Road, Sham Shui Po",Completed Projects (Projects in Existing Residential Buildings),215 Castle Peak Rd,15,34.5,22.33644998481309,114.15865146899498,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",15.0
Pri,walking,10,H_007,5.72,25.0,H_007,"“Happiness x Home Community” at Kim Shin Lane, Cheung Sha Wan",Completed Projects (Projects in Existing Residential Buildings),20 Kim Shin Lane,25,57.5,22.33930340959037,114.15272227081876,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",25.0
Pri,walking,10,H_008,11.693081130762371,24.0,H_008,“Friend Home” at Tai Kok Tsui,Completed Projects (Projects in Existing Residential Buildings),113 Tai Kok Tsui Road,24,55.2,22.321657041487025,114.16180624776824,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",24.0
Pri,walking,10,H_009,0.053688480989603604,1.0,H_009,"Tai Nam Street, Sham Shui Po",Completed Projects (Projects in Existing Residential Buildings),331 Tai Nan Street,1,2.3,22.32947172,114.16040108226962,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",1.0
Pri,walking,10,H_010,1.8833793926756828,1.0,H_010,"Ta Po Road, Sham Shui Po",Completed Projects (Projects in Existing Residential Buildings),292 Tai Po Road,1,2.3,22.33545309541217,114.16282786556953,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",1.0
Pri,walking,10,H_011,144.91626614076975,1.0,H_011,"Nathan Road, Yau Ma Tei",Completed Projects (Projects in Existing Residential Buildings),487 Nathan Road,1,2.3,22.311885702210223,114.17078088202784,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",1.0
Pri,walking,10,H_012,41.39218576268222,1.0,H_012,"Yee Cheong Building, Ka Lok Street, Kwun Tong",Completed Projects (Projects in Existing Residential Buildings),14 Ka Lok Street,1,2.3,22.31637282593241,114.2254549526174,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",1.0
Pri,walking,10,H_013,81.0824847566274,1.0,H_013,"Pitt Street, Yau Ma Tei",Completed Projects (Projects in Existing Residential Buildings),Pitt Street,1,2.3,22.313867679723323,114.1698469609384,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",1.0
Pri,walking,10,H_014,1.1857207744872833,14.0,H_014,"“Co-Living” at James’ House, Soy Street, Mong Kok",Completed Projects (Projects in Existing Residential Buildings),15 Soy Street,14,32.2,22.316582563903157,114.16907720145493,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",14.0
Pri,walking,10,H_015,0.3840317985126275,88.0,H_015,"“LST Housing” at Fuk Lo Tsun Road, Kowloon City; Nam Kok Road, Kowloon City; Lok Shan Road, To Kwa Wan and Liberty Avenue, Ho Man Tin",Completed Projects (Projects in Existing Residential Buildings),Nam Kok Road,88,202.4,22.32961978,114.18985947558122,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",88.0
Pri,walking,10,H_016,26.351877012286188,2.0,H_016,Mongkok,Completed Projects (Projects in Existing Residential Buildings),689 Nathan Road,2,4.6,22.32005071095241,114.16912021746104,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",2.0
Pri,walking,10,H_017,2.895884707567856,71.0,H_017,Kwun Tong Garden Estate,Completed Projects (Projects in Existing Residential Buildings),"Garden Estate, Kwun Tong",71,163.3,22.316677404066343,114.21899436832192,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",71.0
Pri,walking,10,H_018,2.6545459240942146,38.0,H_018,Chun Seen Mei Chuen,Completed Projects (Projects in Existing Residential Buildings),Chun Seen Mei Chuen Chi Seen Lau,38,87.4,22.325635630870785,114.18796801613792,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",38.0
Pri,walking,10,H_019,0.4550039555076232,51.0,H_019,Completed Projects (Conversion of Non-residential Buildings),Completed Projects (Conversion of Non-residential Buildings),"63 Lung Kong Road, Kowloon City",51,168.0,22.33032199307013,114.19034887757957,,51.0
Pri,walking,10,H_020,2.8108415048257935,31.0,H_020,“James’ Garden” at Junction of Chatham Road North and Hok Yuen Street,Completed Projects (Conversion of Non-residential Buildings),23 Hok Yuen Street,31,106.0,22.31072233466476,114.18587989386256,,31.0
Pri,walking,10,H_021,1.0973292004171986,89.0,H_021,“Nam Cheong 220”,Completed Projects (Newly-built Projects),23 Nam Cheong Street,89,162.0,22.327120276803647,114.16081692017994,,89.0
Pri,walking,10,H_022,0.18420973868670382,721.0,H_022,"“Kai Fook Kui” at Area 1B3, Muk On Street, Kai Tak",Completed Projects (Newly-built Projects),"Area 1B3, Muk On Street, Kai Tak",721,1600.0,22.328115501531983,114.20307349480436,,721.0
Pri,walking,10,H_023,0.12627291242362526,491.0,H_023,"“Good Mansion” at Hung Lok Road, Hung Hom",Completed Projects (Newly-built Projects),"9 Hung Lok Road, Hung Hom",491,1090.0,22.30289399310305,114.18565087987363,,491.0
Pri,walking,10,H_024,0.0,110.0,H_024,"“LST Housing” at Sung Wong Toi Road, To Kwa Wan",Completed Projects (Newly-built Projects),"Sung Wong Toi Road, To Kwa Wan",110,220.0,22.322230800604657,114.19413509544434,,110.0
Pri,walking,10,H_025,0.8229405346133929,140.0,H_025,"“Tenacity Residence” at Ying Wa Street, Cheung Sha Wan",Completed Projects (Newly-built Projects),6 Ying Wa Street,140,400.0,22.33089430937634,114.15261119339247,,140.0
Pri,walking,10,H_026,0.22450759348307894,281.0,H_026,"“James’ Concourse” at Yen Chow Street , Sham Shui Po",Completed Projects (Newly-built Projects),"1A Yen Chow Street, Sham Shui Po",281,509.0,22.328024080026637,114.15730908292618,,281.0
Pri,walking,10,H_027,0.8030303030303031,132.0,H_027,"“Shun Ting Terraced Home” at Cheung Shun Street, Cheung Sha Wan",Completed Projects (Newly-built Projects),915 Cheung Sha Wan Road,132,388.0,22.336261035442227,114.1456682441262,,132.0
Pri,walking,10,H_028,0.748898678414097,227.0,H_028,“Ho Yuet Home” at Wong Tai Sin Road,Completed Projects (Newly-built Projects),"Ho Yuet Home, Wong Tai Sin Road",227,612.0,22.34275843590141,114.19448653364658,,227.0
Pri,walking,10,H_029,0.16991286783600487,519.0,H_029,"“T-Loft@Kai Tak” at Muk On Street, Kai Tak",Completed Projects (Newly-built Projects),"12 Muk On Street, Kai Tak",519,1460.0,22.329988253500552,114.20206677006496,,519.0
Pri,walking,10,H_030,0.0,329.0,H_030,"“LST Housing” at Choi Hing Road, Ngau Tau Kok",Completed Projects (Newly-built Projects),"21 Choi Hing Road, Ngau Tau Kok, Kowloon",329,774.0,22.33168510104312,114.21740112685418,,329.0
Pri,walking,15,H_001,8.214474532905756,18.0,H_001,“Joyard” Transitional Housing Project at Hung Hom,Completed Projects (Projects in Existing Residential Buildings),"5/F and 6/F, Sheng Kung Hui Holy Carpenter Church & Community Centre, 1 Dyer Avenue, Hung Hom",18,41.0,22.307562811028166,114.1878114768805,,18.0
Pri,walking,15,H_002,3.614662374804725,9.0,H_002,"Lai Chi Kok Road, Tai Kok Tsui",Completed Projects (Projects in Existing Residential Buildings),421 Lai Chi Kok Road,9,20.7,22.33060808403042,114.1579704527733,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",9.0
Pri,walking,15,H_003,4.63171654431018,49.0,H_003,"“James’ Court” at Soy Street, Mong Kok",Completed Projects (Projects in Existing Residential Buildings),"20 Soy Street, Mong Kok",49,112.7,22.31692548934092,114.16980854107668,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",49.0
Pri,walking,15,H_004,2.923409285596796,53.0,H_004,"“Home Plus” at Ha Heung Road, To Kwa Wan",Completed Projects (Projects in Existing Residential Buildings),"79 Ha Heung Road, To Kwa Wan",53,121.9,22.31796718527946,114.18925605559144,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",53.0
Pri,walking,15,H_005,2.7627149018287813,60.0,H_005,“Good Homes” at To Kwa Wan Road,Completed Projects (Projects in Existing Residential Buildings),76 To Kwa Wan Road,60,138.0,22.31642384826867,114.18941895047124,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",60.0
Pri,walking,15,H_006,16.145591102137374,15.0,H_006,"Castle Peak Road, Sham Shui Po",Completed Projects (Projects in Existing Residential Buildings),215 Castle Peak Rd,15,34.5,22.33644998481309,114.15865146899498,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",15.0
Pri,walking,15,H_007,4.006914278489214,25.0,H_007,"“Happiness x Home Community” at Kim Shin Lane, Cheung Sha Wan",Completed Projects (Projects in Existing Residential Buildings),20 Kim Shin Lane,25,57.5,22.33930340959037,114.15272227081876,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",25.0
Pri,walking,15,H_008,5.675855785056857,24.0,H_008,“Friend Home” at Tai Kok Tsui,Completed Projects (Projects in Existing Residential Buildings),113 Tai Kok Tsui Road,24,55.2,22.321657041487025,114.16180624776824,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",24.0
Pri,walking,15,H_009,1.9399902332798302,1.0,H_009,"Tai Nam Street, Sham Shui Po",Completed Projects (Projects in Existing Residential Buildings),331 Tai Nan Street,1,2.3,22.32947172,114.16040108226962,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",1.0
Pri,walking,15,H_010,83.40266534557266,1.0,H_010,"Ta Po Road, Sham Shui Po",Completed Projects (Projects in Existing Residential Buildings),292 Tai Po Road,1,2.3,22.33545309541217,114.16282786556953,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",1.0
Pri,walking,15,H_011,68.67537892396666,1.0,H_011,"Nathan Road, Yau Ma Tei",Completed Projects (Projects in Existing Residential Buildings),487 Nathan Road,1,2.3,22.311885702210223,114.17078088202784,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",1.0
Pri,walking,15,H_012,81.0138154711526,1.0,H_012,"Yee Cheong Building, Ka Lok Street, Kwun Tong",Completed Projects (Projects in Existing Residential Buildings),14 Ka Lok Street,1,2.3,22.31637282593241,114.2254549526174,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",1.0
Pri,walking,15,H_013,17.611028899569803,1.0,H_013,"Pitt Street, Yau Ma Tei",Completed Projects (Projects in Existing Residential Buildings),Pitt Street,1,2.3,22.313867679723323,114.1698469609384,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",1.0
Pri,walking,15,H_014,10.758033468757954,14.0,H_014,"“Co-Living” at James’ House, Soy Street, Mong Kok",Completed Projects (Projects in Existing Residential Buildings),15 Soy Street,14,32.2,22.316582563903157,114.16907720145493,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",14.0
Pri,walking,15,H_015,1.2851421160033645,88.0,H_015,"“LST Housing” at Fuk Lo Tsun Road, Kowloon City; Nam Kok Road, Kowloon City; Lok Shan Road, To Kwa Wan and Liberty Avenue, Ho Man Tin",Completed Projects (Projects in Existing Residential Buildings),Nam Kok Road,88,202.4,22.32961978,114.18985947558122,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",88.0
Pri,walking,15,H_016,36.76089452007733,2.0,H_016,Mongkok,Completed Projects (Projects in Existing Residential Buildings),689 Nathan Road,2,4.6,22.32005071095241,114.16912021746104,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",2.0
Pri,walking,15,H_017,3.8167068243499633,71.0,H_017,Kwun Tong Garden Estate,Completed Projects (Projects in Existing Residential Buildings),"Garden Estate, Kwun Tong",71,163.3,22.316677404066343,114.21899436832192,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",71.0
Pri,walking,15,H_018,4.747443418800151,38.0,H_018,Chun Seen Mei Chuen,Completed Projects (Projects in Existing Residential Buildings),Chun Seen Mei Chuen Chi Seen Lau,38,87.4,22.325635630870785,114.18796801613792,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",38.0
Pri,walking,15,H_019,3.3135231155451805,51.0,H_019,Completed Projects (Conversion of Non-residential Buildings),Completed Projects (Conversion of Non-residential Buildings),"63 Lung Kong Road, Kowloon City",51,168.0,22.33032199307013,114.19034887757957,,51.0
Pri,walking,15,H_020,1.803594298766646,31.0,H_020,“James’ Garden” at Junction of Chatham Road North and Hok Yuen Street,Completed Projects (Conversion of Non-residential Buildings),23 Hok Yuen Street,31,106.0,22.31072233466476,114.18587989386256,,31.0
Pri,walking,15,H_021,2.2026855869552664,89.0,H_021,“Nam Cheong 220”,Completed Projects (Newly-built Projects),23 Nam Cheong Street,89,162.0,22.327120276803647,114.16081692017994,,89.0
Pri,walking,15,H_022,0.3003580343580197,721.0,H_022,"“Kai Fook Kui” at Area 1B3, Muk On Street, Kai Tak",Completed Projects (Newly-built Projects),"Area 1B3, Muk On Street, Kai Tak",721,1600.0,22.328115501531983,114.20307349480436,,721.0
Pri,walking,15,H_023,0.3598740937656868,491.0,H_023,"“Good Mansion” at Hung Lok Road, Hung Hom",Completed Projects (Newly-built Projects),"9 Hung Lok Road, Hung Hom",491,1090.0,22.30289399310305,114.18565087987363,,491.0
Pri,walking,15,H_024,0.20310212586468201,110.0,H_024,"“LST Housing” at Sung Wong Toi Road, To Kwa Wan",Completed Projects (Newly-built Projects),"Sung Wong Toi Road, To Kwa Wan",110,220.0,22.322230800604657,114.19413509544434,,110.0
Pri,walking,15,H_025,2.7532168651179223,140.0,H_025,"“Tenacity Residence” at Ying Wa Street, Cheung Sha Wan",Completed Projects (Newly-built Projects),6 Ying Wa Street,140,400.0,22.33089430937634,114.15261119339247,,140.0
Pri,walking,15,H_026,0.43517012101053715,281.0,H_026,"“James’ Concourse” at Yen Chow Street , Sham Shui Po",Completed Projects (Newly-built Projects),"1A Yen Chow Street, Sham Shui Po",281,509.0,22.328024080026637,114.15730908292618,,281.0
Pri,walking,15,H_027,0.8894027443580247,132.0,H_027,"“Shun Ting Terraced Home” at Cheung Shun Street, Cheung Sha Wan",Completed Projects (Newly-built Projects),915 Cheung Sha Wan Road,132,388.0,22.336261035442227,114.1456682441262,,132.0
Pri,walking,15,H_028,1.2422907488986783,227.0,H_028,“Ho Yuet Home” at Wong Tai Sin Road,Completed Projects (Newly-built Projects),"Ho Yuet Home, Wong Tai Sin Road",227,612.0,22.34275843590141,114.19448653364658,,227.0
Pri,walking,15,H_029,0.162701073656778,519.0,H_029,"“T-Loft@Kai Tak” at Muk On Street, Kai Tak",Completed Projects (Newly-built Projects),"12 Muk On Street, Kai Tak",519,1460.0,22.329988253500552,114.20206677006496,,519.0
Pri,walking,15,H_030,0.3130699088145897,329.0,H_030,"“LST Housing” at Choi Hing Road, Ngau Tau Kok",Completed Projects (Newly-built Projects),"21 Choi Hing Road, Ngau Tau Kok, Kowloon",329,774.0,22.33168510104312,114.21740112685418,,329.0
Pri,driving,15,H_001,1.2617961191475071,18.0,H_001,“Joyard” Transitional Housing Project at Hung Hom,Completed Projects (Projects in Existing Residential Buildings),"5/F and 6/F, Sheng Kung Hui Holy Carpenter Church & Community Centre, 1 Dyer Avenue, Hung Hom",18,41.0,22.307562811028166,114.1878114768805,,18.0
Pri,driving,15,H_002,2.1542939219815334,9.0,H_002,"Lai Chi Kok Road, Tai Kok Tsui",Completed Projects (Projects in Existing Residential Buildings),421 Lai Chi Kok Road,9,20.7,22.33060808403042,114.1579704527733,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",9.0
Pri,driving,15,H_003,1.6130811883571776,49.0,H_003,"“James’ Court” at Soy Street, Mong Kok",Completed Projects (Projects in Existing Residential Buildings),"20 Soy Street, Mong Kok",49,112.7,22.31692548934092,114.16980854107668,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",49.0
Pri,driving,15,H_004,2.0799440065878314,53.0,H_004,"“Home Plus” at Ha Heung Road, To Kwa Wan",Completed Projects (Projects in Existing Residential Buildings),"79 Ha Heung Road, To Kwa Wan",53,121.9,22.31796718527946,114.18925605559144,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",53.0
Pri,driving,15,H_005,1.4651221328925499,60.0,H_005,“Good Homes” at To Kwa Wan Road,Completed Projects (Projects in Existing Residential Buildings),76 To Kwa Wan Road,60,138.0,22.31642384826867,114.18941895047124,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",60.0
Pri,driving,15,H_006,2.4758793840372326,15.0,H_006,"Castle Peak Road, Sham Shui Po",Completed Projects (Projects in Existing Residential Buildings),215 Castle Peak Rd,15,34.5,22.33644998481309,114.15865146899498,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",15.0
Pri,driving,15,H_007,1.8524859310091775,25.0,H_007,"“Happiness x Home Community” at Kim Shin Lane, Cheung Sha Wan",Completed Projects (Projects in Existing Residential Buildings),20 Kim Shin Lane,25,57.5,22.33930340959037,114.15272227081876,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",25.0
Pri,driving,15,H_008,1.3018324665457632,24.0,H_008,“Friend Home” at Tai Kok Tsui,Completed Projects (Projects in Existing Residential Buildings),113 Tai Kok Tsui Road,24,55.2,22.321657041487025,114.16180624776824,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",24.0
Pri,driving,15,H_009,2.1799449869675898,1.0,H_009,"Tai Nam Street, Sham Shui Po",Completed Projects (Projects in Existing Residential Buildings),331 Tai Nan Street,1,2.3,22.32947172,114.16040108226962,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",1.0
Pri,driving,15,H_010,2.934808286771104,1.0,H_010,"Ta Po Road, Sham Shui Po",Completed Projects (Projects in Existing Residential Buildings),292 Tai Po Road,1,2.3,22.33545309541217,114.16282786556953,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",1.0
Pri,driving,15,H_011,1.2314211899090635,1.0,H_011,"Nathan Road, Yau Ma Tei",Completed Projects (Projects in Existing Residential Buildings),487 Nathan Road,1,2.3,22.311885702210223,114.17078088202784,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",1.0
Pri,driving,15,H_012,3.1141352984153716,1.0,H_012,"Yee Cheong Building, Ka Lok Street, Kwun Tong",Completed Projects (Projects in Existing Residential Buildings),14 Ka Lok Street,1,2.3,22.31637282593241,114.2254549526174,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",1.0
Pri,driving,15,H_013,1.75962831644616,1.0,H_013,"Pitt Street, Yau Ma Tei",Completed Projects (Projects in Existing Residential Buildings),Pitt Street,1,2.3,22.313867679723323,114.1698469609384,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",1.0
Pri,driving,15,H_014,1.9656495111525505,14.0,H_014,"“Co-Living” at James’ House, Soy Street, Mong Kok",Completed Projects (Projects in Existing Residential Buildings),15 Soy Street,14,32.2,22.316582563903157,114.16907720145493,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",14.0
Pri,driving,15,H_015,2.3446259086662558,88.0,H_015,"“LST Housing” at Fuk Lo Tsun Road, Kowloon City; Nam Kok Road, Kowloon City; Lok Shan Road, To Kwa Wan and Liberty Avenue, Ho Man Tin",Completed Projects (Projects in Existing Residential Buildings),Nam Kok Road,88,202.4,22.32961978,114.18985947558122,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",88.0
Pri,driving,15,H_016,1.7477032952875,2.0,H_016,Mongkok,Completed Projects (Projects in Existing Residential Buildings),689 Nathan Road,2,4.6,22.32005071095241,114.16912021746104,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",2.0
Pri,driving,15,H_017,4.041049081947087,71.0,H_017,Kwun Tong Garden Estate,Completed Projects (Projects in Existing Residential Buildings),"Garden Estate, Kwun Tong",71,163.3,22.316677404066343,114.21899436832192,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",71.0
Pri,driving,15,H_018,2.909591281237901,38.0,H_018,Chun Seen Mei Chuen,Completed Projects (Projects in Existing Residential Buildings),Chun Seen Mei Chuen Chi Seen Lau,38,87.4,22.325635630870785,114.18796801613792,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",38.0
Pri,driving,15,H_019,2.4733972616366517,51.0,H_019,Completed Projects (Conversion of Non-residential Buildings),Completed Projects (Conversion of Non-residential Buildings),"63 Lung Kong Road, Kowloon City",51,168.0,22.33032199307013,114.19034887757957,,51.0
Pri,driving,15,H_020,1.7542914138104517,31.0,H_020,“James’ Garden” at Junction of Chatham Road North and Hok Yuen Street,Completed Projects (Conversion of Non-residential Buildings),23 Hok Yuen Street,31,106.0,22.31072233466476,114.18587989386256,,31.0
Pri,driving,15,H_021,1.9637450909095344,89.0,H_021,“Nam Cheong 220”,Completed Projects (Newly-built Projects),23 Nam Cheong Street,89,162.0,22.327120276803647,114.16081692017994,,89.0
Pri,driving,15,H_022,2.1420655479816126,721.0,H_022,"“Kai Fook Kui” at Area 1B3, Muk On Street, Kai Tak",Completed Projects (Newly-built Projects),"Area 1B3, Muk On Street, Kai Tak",721,1600.0,22.328115501531983,114.20307349480436,,721.0
Pri,driving,15,H_023,2.3925557651822107,491.0,H_023,"“Good Mansion” at Hung Lok Road, Hung Hom",Completed Projects (Newly-built Projects),"9 Hung Lok Road, Hung Hom",491,1090.0,22.30289399310305,114.18565087987363,,491.0
Pri,driving,15,H_024,2.932996807034427,110.0,H_024,"“LST Housing” at Sung Wong Toi Road, To Kwa Wan",Completed Projects (Newly-built Projects),"Sung Wong Toi Road, To Kwa Wan",110,220.0,22.322230800604657,114.19413509544434,,110.0
Pri,driving,15,H_025,2.3249531480234995,140.0,H_025,"“Tenacity Residence” at Ying Wa Street, Cheung Sha Wan",Completed Projects (Newly-built Projects),6 Ying Wa Street,140,400.0,22.33089430937634,114.15261119339247,,140.0
