origin_id,mode,facility_type,Tr,AF_k,P_i,dc_eng,Housing_type,t_pop,age_1,t_mmearn,Latitude,Longitude
C_005,walking,Primary School,5,0,203,Wong Tai Sin,C,3557,203,17500,22.3400544,114.1847606
C_006,walking,Primary School,5,0.06445993031358885,574,Wong Tai Sin,C,6615,574,19900,22.34147382,114.2074404
C_007,walking,Primary School,5,0,1284,Kwun Tong,C,13786,1284,18500,22.32043626,114.2292572
C_024,walking,Primary School,5,0,1005,Wong Tai Sin,C,10071,1005,18000,22.3462203,114.1877529
C_025,walking,Primary School,5,0.06462581887540855,1167,Wong Tai Sin,C,11614,1167,20000,22.35051523,114.199012
C_026,walking,Primary School,5,0.1821705426356589,516,Kwun Tong,C,4499,516,20000,22.30033215,114.2380226
C_001,walking,Primary School,5,0.03724696356275303,1235,Yau Tsim Mong,C,11335,1235,20000,22.31420707,114.1645941
C_002,walking,Primary School,5,0,290,Kwun Tong,C,4039,290,16570,22.31907611,114.2263859
C_003,walking,Primary School,5,0.01744041810884584,548,Kwun Tong,C,3500,548,21000,22.33166691,114.2137386
C_020,walking,Primary School,5,0.0898876404494382,801,Wong Tai Sin,C,8980,801,18490,22.3363155,114.2025524
C_021,walking,Primary School,5,0.0375711760458734,1542,Kwun Tong,C,14586,1542,21360,22.32994641,114.206744
C_022,walking,Primary School,5,0,367,Kwun Tong,C,3947,367,20000,22.33232766,114.2269977
C_023,walking,Primary School,5,0.21276595744680854,423,Wong Tai Sin,C,6034,423,20000,22.34326873,114.1865045
C_017,walking,Primary School,5,0,349,Kwun Tong,C,3179,349,21250,22.32304899,114.2200991
C_018,walking,Primary School,5,0,757,Wong Tai Sin,C,8550,757,19000,22.34210453,114.2002358
C_019,walking,Primary School,5,0,286,Kwun Tong,C,4950,286,18000,22.31750076,114.2279714
PV_001,walking,Primary School,5,0,1084,Kwun Tong,PV,10791,1084,22000,22.32457077,114.2163576
PV_002,walking,Primary School,5,0.10932571925382525,694,Sham Shui Po,PV,4367,694,30000,22.33270983,114.1484643
PV_003,walking,Primary School,5,0.0418054073992391,1000,Sham Shui Po,PV,6515,1000,30000,22.33441907,114.1476419
PV_004,walking,Primary School,5,0.08918128654970758,684,Kowloon City,PV,3265,684,21250,22.31903541,114.1856827
PV_005,walking,Primary School,5,0,534,Yau Tsim Mong,PV,3873,534,32900,22.31661937,114.162036
PV_006,walking,Primary School,5,0.36026200873362446,458,Yau Tsim Mong,PV,5035,458,17000,22.32164611,114.1608705
PV_007,walking,Primary School,5,0,563,Sham Shui Po,PV,5276,563,45000,22.32702272,114.1537729
PV_008,walking,Primary School,5,0,780,Wong Tai Sin,PV,4964,780,37620,22.34115728,114.2022541
PV_009,walking,Primary School,5,0,741,Kowloon City,PV,4400,741,24810,22.31922145,114.1936142
PV_010,walking,Primary School,5,0,672,Yau Tsim Mong,PV,3329,672,45000,22.32164088,114.1592698
PV_011,walking,Primary School,5,0,1139,Kowloon City,PV,6704,1139,28000,22.30298295,114.1865921
PV_012,walking,Primary School,5,0.011325585104027015,338,Kowloon City,PV,3249,338,17200,22.31536271,114.1894455
