ID,facility_type,facility_name,facility_sc,map_latitude,map_longitude,Total_supply,,,,
K_075,Kindergarten,LOK SIN TONG MAN NG WING YEE KINDERGARTEN,,22.31830693,114.2323241,213,,,,
K_076,Kindergarten,LEI YUE MUN METHODIST KINDERGARTEN,,22.29424664,114.2398742,236,,,,
K_077,Kindergarten,PEACE EVANGELICAL CENTRE KINDERGARTEN (NGAU TAU KOK),,22.31918729,114.2175035,165,,,,
K_078,Kindergarten,JING JING KINDERGARTEN (SHUN LEE BRANCH),,22.3324701,114.2219822,174,,,,
K_079,Kindergarten,BGCAHK CHEERLAND KINDERGARTEN (KOWLOON BAY),,22.34306848,114.1926007,91,,,,
K_080,Kindergarten,ST VINCENT DE PAUL NURSERY SCHOOL,,22.31477913,114.2221609,87,,,,
K_081,Kindergarten,TWGHS CHAN HAN NURSERY SCHOOL,,22.31675369,114.232275,83,,,,
K_082,Kindergarten,NEW KOWLOON WOMEN ASSOCIATION LOK WAH NURSERY,,22.32032376,114.2226965,80,,,,
K_083,Kindergarten,PO LEUNG KUK NG PO LING KINDERGARTEN,,22.3158334,114.2297705,108,,,,
K_084,Kindergarten,TSUNG TSIN MISSION OF HONG KONG ON YEE NURSERY SCHOOL,,22.2969283,114.2409623,92,,,,
K_085,Kindergarten,PO LEUNG KUK KIM HUYNH KINDERGARTEN,,22.33217514,114.2092273,82,,,,
K_086,Kindergarten,PO LEUNG KUK LEE SIU CHAN KINDERGARTEN,,22.33161065,114.2272333,94,,,,
K_087,Kindergarten,PO LEUNG KUK CHENG KWAN HOW YIN KINDERGARTEN,,22.30819922,114.2391332,118,,,,
K_088,Kindergarten,POK OI HOSPITAL CHAN HSU FONG LAM KINDERGARTEN,,22.30291621,114.2394123,97,,,,
K_089,Kindergarten,SISTERS OF THE IMMACULATE HEART OF MARY GOSPEL SAU MAU PING KINDERGARTEN,,22.31806271,114.2334596,94,,,,
K_090,Kindergarten,SHUN TIN RHENISH NURSERY,,22.32572245,114.2280465,96,,,,
K_091,Kindergarten,LUTHERAN PHILIP HOUSE KAI YIP NURSERY SCHOOL,,22.36648547,114.1747772,87,,,,
K_092,Kindergarten,CHRISTIAN FAMILY SERVICE CENTRE TAK TIN KINDERGARTEN,,22.30634816,114.2385792,87,,,,
K_093,Kindergarten,CHRISTIAN FAMILY SERVICE CENTRE CHEERLAND KINDERGARTEN,,22.31173379,114.2289052,103,,,,
K_094,Kindergarten,ELCHK LING ON NURSERY SCHOOL,,22.30894169,114.2337956,84,,,,
K_095,Kindergarten,HKSPC MR & MRS THOMAS TAM NURSERY SCHOOL,,22.30739905,114.2290492,105,,,,
K_096,Kindergarten,GARDEN ESTATE BAPTIST NURSERY SCHOOL,,22.31556536,114.2200744,91,,,,
K_097,Kindergarten,HONG KONG CHRISTIAN SERVICE KWUN TONG NURSERY SCHOOL,,22.31296173,114.2295753,178,,,,
K_098,Kindergarten,BUDDHIST CHI WAI DAY NURSERY,,22.31830972,114.2234626,111,,,,
K_099,Kindergarten,CARITAS NURSERY SCHOOL - LEI YUE MUN,,22.29441796,114.2405439,87,,,,
K_100,Kindergarten,CARITAS NURSERY SCHOOL - YAU TONG,,22.29887086,114.2384594,107,,,,
K_101,Kindergarten,CREATIVE DAY NURSERY (SCENEWAY),,22.30591656,114.2334547,312,,,,
K_102,Kindergarten,HONG KONG STUDENT AID SOCIETY PO TAT NURSERY,,22.31770847,114.2390597,76,,,,
K_103,Kindergarten,POK OI HOSPITAL SY SIOK CHUN KINDERGARTEN,,22.31716998,114.2296158,95,,,,
K_104,Kindergarten,UNITED CHRISTIAN MEDICAL SERVICE NURSERY SCHOOL,,22.32338359,114.2278516,52,,,,
K_105,Kindergarten,CHRISTIAN LITTLE TREE KINDERGARTEN,,22.32765848,114.215487,142,,,,
K_106,Kindergarten,THE HONG KONG FEDERATION OF YOUTH GROUPS KK CHENG KINDERGARTEN,,22.33025076,114.213294,122,,,,
K_107,Kindergarten,THE SALVATION ARMY CENTALINE CHARITY FUND YAU TONG KINDERGARTEN,,22.30104864,114.2346464,118,,,,
K_108,Kindergarten,CHRISTIAN YOUTH CENTRE KINDERGARTEN (YAU TONG),,22.29886178,114.2385759,225,,,,
K_109,Kindergarten,PO LEUNG KUK LEE SHU FOOK KINDERGARTEN,,22.32929907,114.2264171,364,,,,
K_110,Kindergarten,TWGHS LUCINA LAAM HO KINDERGARTEN,,22.32074451,114.2342857,245,,,,
K_111,Kindergarten,HONG KONG CHRISTIAN SERVICE PARIO KINDERGARTEN,,22.32323344,114.215709,224,,,,
K_112,Kindergarten,S.K.H. KINDLY LIGHT CHURCH HOLY CARPENTER KINDERGARTEN (BRANCH),,22.30280809,114.2387523,190,,,,
K_113,Kindergarten,CHRISTIAN FAMILY SERVICE CENTRE YEOH CHOY WAI HAAN MEMORIAL KINDERGARTEN,,22.32024699,114.2365955,132,,,,
K_114,Kindergarten,LIGHT AND LOVE HOME HAPPY KINDERGARTEN (ON TAI),,22.32718539,114.2281053,137,,,,
K_115,Kindergarten,CHRISTIAN & MISSIONARY ALLIANCE ON TAI KINDERGARTEN,,22.32808845,114.2281056,176,,,,
K_116,Kindergarten,THE CHURCH OF CHRIST IN CHINA HEEP WOH KINDERGARTEN,,22.32810532,114.1675949,266,,,,
K_117,Kindergarten,YAU YAT CHUEN SCHOOL,,22.32789783,114.1726714,1232,,,,
K_118,Kindergarten,DELIA ENGLISH PRIMARY SCHOOL & KINDERGARTEN,,22.33496508,114.1419872,289,,,,
K_119,Kindergarten,SHAM SHUI PO BAPTIST CHURCH KINDERGARTEN,,22.3403591,114.159003,174,,,,
K_120,Kindergarten,THE CHURCH OF CHRIST IN CHINA SHUM OI CHURCH KINDERGARTEN,,22.33203365,114.16808,113,,,,
K_121,Kindergarten,N-M-S' LUTHERAN KINDERGARTEN,,22.33429151,114.1739914,193,,,,
K_122,Kindergarten,ST. THOMAS' CHURCH KINDERGARTEN,,22.3332165,114.1654396,191,,,,
K_123,Kindergarten,SUEN MEI KINDERGARTEN,,22.33628334,114.1410356,219,,,,
K_124,Kindergarten,GUIDEPOSTS KINDERGARTEN,,22.33764653,114.1391812,334,,,,
K_125,Kindergarten,WESTERN PACIFIC KINDERGARTEN,,22.31284366,114.1682656,199,,,,
K_126,Kindergarten,BUDDHIST TSANG KOR SING ANGLO-CHINESE KINDERGARTEN,,22.33236668,114.1559852,145,,,,
K_127,Kindergarten,THE CHURCH OF CHRIST IN CHINA KEI CHUN KINDERGARTEN,,22.3317437,114.1570142,153,,,,
K_128,Kindergarten,SHENG KUNG HUI SHAM SHUI PO KEI OI CHURCH KINDERGARTEN,,22.33886912,114.1596148,246,,,,
K_129,Kindergarten,EVANGELICAL LUTHERAN CHURCH OF HONG KONG NAM CHEONG KINDERGARTEN,,22.32584689,114.1584128,145,,,,
K_130,Kindergarten,SHAM SHUI PO TAK SHIN KINDERGARTEN,,22.32659664,114.160354,66,,,,
K_131,Kindergarten,HONG KONG Y.W.C.A ATHENA KINDERGARTEN,,22.3321774,114.159004,231,,,,
K_132,Kindergarten,TSUNG TSIN PRIMARY SCHOOL AND KINDERGARTEN (LOCAL STREAM),,22.32908063,114.1677307,750,,,,
K_133,Kindergarten,JAMES ANGLO-CHINESE KINDERGARTEN (SHAM SHUI PO),,22.33513069,114.1618673,129,,,,
K_134,Kindergarten,CHE LOK KINDERGARTEN,,22.32765341,114.1624019,166,,,,
K_135,Kindergarten,CHE LOK KINDERGARTEN,,22.32765341,114.1624019,36,,,,
K_136,Kindergarten,CHRISTIAN ALLIANCE LOUEY CHOY KWAN LOK KINDERGARTEN,,22.3372882,114.1548584,208,,,,
K_137,Kindergarten,TSUNG TSIN MISSION PAK TIN GRACEFUL KINDERGARTEN,,22.33611546,114.1677691,199,,,,
K_138,Kindergarten,PO LEUNG KUK LAU CHAN SIU PO KINDERGARTEN,,22.32730042,114.1552288,224,,,,
K_139,Kindergarten,THE SALVATION ARMY PAK TIN NURSERY SCHOOL,,22.33717209,114.1689048,83,,,,
K_140,Kindergarten,PRECIOUS BLOOD KINDERGARTEN (SHAM SHUI PO),,22.33318911,114.1618286,194,,,,
K_141,Kindergarten,HONG KONG YOUNG WOMEN'S CHRISTIAN ASSOCIATION SHIU PONG NURSERY SCHOOL,,22.33125718,114.1718851,85,,,,
K_142,Kindergarten,HKSPC CHEUNG SHA WAN NURSERY SCHOOL,,22.34002496,114.1588866,95,,,,
K_143,Kindergarten,HONG KONG YOUNG WOMEN'S CHRISTIAN ASSOCIATION CHIU OI WAH NURSERY SCHOOL,,22.3376585,114.1552272,84,,,,
K_144,Kindergarten,HONG KONG SHENG KUNG HUI KEI OI NURSERY SCHOOL,,22.33147287,114.157752,89,,,,
K_145,Kindergarten,CHEUNG SHA WAN KAI FONG WELFARE ASSOCIATION LAM TAM YIN WAH KINDERGARTEN,,22.33325159,114.155325,89,,,,
K_146,Kindergarten,HONG KONG CHRISTIAN SERVICE TAI HANG TUNG NURSERY SCHOOL,,22.33026376,114.170167,161,,,,
K_147,Kindergarten,HONG KONG CHRISTIAN SERVICE LEI CHENG UK NURSERY SCHOOL,,22.33816467,114.1589936,146,,,,
K_148,Kindergarten,BAPTIST OI KWAN SOCIAL SERVICE PUI YAN PRE-PRIMARY SCHOOL,,22.33460598,114.1538881,133,,,,
K_149,Kindergarten,PENTECOSTAL CHURCH OF HONG KONG NAM CHEONG NURSERY SCHOOL,,22.32699367,114.1574517,100,,,,
K_150,Kindergarten,HONG KONG CHRISTIAN SERVICE SHEK KIP MEI NURSERY SCHOOL,,22.33339711,114.165459,170,,,,
K_151,Kindergarten,YAN OI TONG PONG LO SHUK YIN KINDERGARTEN,,22.33261807,114.1466763,378,,,,
K_152,Kindergarten,PO LEUNG KUK ANGELA LEONG ON KEI KINDERGARTEN,,22.33318044,114.1664685,93,,,,
K_153,Kindergarten,HONG KONG LING LIANG CHURCH SAU TAK KINDERGARTEN,,22.33471319,114.1468311,114,,,,
K_154,Kindergarten,HONG KONG LING LIANG CHURCH SAU TAK KINDERGARTEN(CAMPUS 2),,22.33471319,114.1468311,458,,,,
K_155,Kindergarten,TSUNG TSIN MISSION OF HONG KONG ON HONG NURSERY SCHOOL (SHUN NING ROAD),,22.33726156,114.158518,108,,,,
K_156,Kindergarten,TWGHS MR. & MRS. TAM KAM KAU KINDERGARTEN,,22.32764263,114.1489487,251,,,,
K_157,Kindergarten,THE SALVATION ARMY SO UK KINDERGARTEN,,22.34037693,114.1570227,273,,,,
K_158,Kindergarten,GUIDEPOSTS KINDERGARTEN (NAM CHEONG BRANCH),,22.3298462,114.1495986,207,,,,
K_159,Kindergarten,SHUN SANG ANGLO-CHINESE KINDERGARTEN,,22.34815153,114.2018044,270,,,,
K_160,Kindergarten,A-ONE KINDERGARTEN,,22.33632072,114.2063841,122,,,,
K_161,Kindergarten,REDEMPTION LUTHERAN KINDERGARTEN,,22.34110835,114.1971242,376,,,,
K_162,Kindergarten,CHRISTIAN EVANGELICAL CENTRE LOK FU KINDERGARTEN,,22.33607023,114.1870668,134,,,,
K_163,Kindergarten,HONG KONG AND MACAU LUTHERAN CHURCH SHEK ON MEMORIAL KINDERGARTEN,,22.34037677,114.1979395,179,,,,
K_164,Kindergarten,LOK SIN TONG KU LEE KWOK SIN KINDERGARTEN,,22.34473893,114.1946589,146,,,,
K_165,Kindergarten,S.K.H. KINDLY LIGHT CHURCH OR PUI CHEUNG KINDERGARTEN,,22.34585872,114.1945911,175,,,,
K_166,Kindergarten,HO TAK KINDERGARTEN (SPONSORED BY SIK SIK YUEN),,22.34575968,114.191669,108,,,,
K_167,Kindergarten,BUDDHIST FOO HONG KINDERGARTEN,,22.33893217,114.1955804,208,,,,
K_168,Kindergarten,HONG KONG BETHEL CHURCH GIDEON KINDERGARTEN,,22.33791233,114.189154,63,,,,
K_169,Kindergarten,HONG KONG TAOIST ASSOCIATION YUEN YUEN KINDERGARTEN (TUNG TAU ESTATE),,22.33374901,114.1917843,146,,,,
K_170,Kindergarten,PO LEUNG KUK KAM HING KINDERGARTEN,,22.34423263,114.1993671,429,,,,
K_171,Kindergarten,GRACE METHODIST CHURCH KINDERGARTEN,,22.34420683,114.1863102,124,,,,
K_172,Kindergarten,LOK FU RHENISH CHURCH KINDERGARTEN,,22.34091971,114.1860382,155,,,,
K_173,Kindergarten,HO LAP KINDERGARTEN (SPONSORED BY SIK SIK YUEN),,22.34720373,114.1990472,146,,,,
K_174,Kindergarten,SHARON LUTHERAN CHURCH KINDERGARTEN (TSZ OI BRANCH),,22.34951547,114.1996495,110,,,,
K_175,Kindergarten,OUR LADY'S KINDERGARTEN,,22.34433247,114.1953966,480,,,,
K_176,Kindergarten,DIAMOND HILL LING LIANG KINDERGARTEN,,22.34083661,114.2028418,350,,,,
K_177,Kindergarten,GRACEFIELD EAST KOWLOON CHRISTIAN KINDERGARTEN,,22.34255386,114.1913386,128,,,,
K_178,Kindergarten,TSZ CHING ESTATE BODHI SIKSA KINDERGARTEN,,22.34918087,114.2027657,115,,,,
K_179,Kindergarten,EVANGELIZE CHINA FELLOWSHIP BLESSINGS CREATIVITY KINDERGARTEN,,22.34766353,114.2039886,146,,,,
K_180,Kindergarten,HONG KONG KINDERGARTEN ASSOCIATION PRE-SCHOOL,,22.33319469,114.2134986,184,,,,
K_181,Kindergarten,BGCAHK CHEERLAND KINDERGARTEN (WONG TAI SIN),,22.34306848,114.1926007,93,,,,
K_182,Kindergarten,TWGHS FONG SHIU YEE NURSERY SCHOOL,,22.34291541,114.1870868,74,,,,
K_183,Kindergarten,NEW KOWLOON WOMEN ASSOCIATION TSZ WAN SHAN NURSERY,,22.34990337,114.2024357,79,,,,
K_184,Kindergarten,PO LEUNG KUK WONG SIU CHING KINDERGARTEN,,22.33491041,114.2138776,86,,,,
K_185,Kindergarten,PO LEUNG KUK TSE WONG PUI KUEN KINDERGARTEN,,22.34789894,114.2000666,107,,,,
K_186,Kindergarten,PO LEUNG KUK FONG TAM YUEN LEUNG (TSZ WAN SHAN) KINDERGARTEN,,22.3482416,114.2033189,124,,,,
K_187,Kindergarten,TSUNG TSIN MISSION OF HONG KONG ON KEUNG NURSERY SCHOOL,,22.34289577,114.2016384,94,,,,
K_188,Kindergarten,TWGHS KWAN FONG NURSERY SCHOOL,,22.34428786,114.1897662,33,,,,
K_189,Kindergarten,FIVE DISTRICTS BUSINESS WELFARE ASSOCIATION KINDERGARTEN,,22.3401249,114.1879699,65,,,,
K_190,Kindergarten,FIVE DISTRICTS BUSINESS WELFARE ASSOCIATION CHEUNG CHUK SHAN KINDERGARTEN,,22.34181231,114.2002695,105,,,,
K_191,Kindergarten,SISTERS OF THE IMMACULATE HEART OF MARY WONG TAI SIN KINDERGARTEN,,22.34103644,114.1941828,190,,,,
K_192,Kindergarten,LOK FU RHENISH NURSERY,,22.34143445,114.1861353,88,,,,
K_193,Kindergarten,SAN PO KONG RHENISH NURSERY,,22.33501286,114.1959196,101,,,,
K_194,Kindergarten,HONG KONG YOUNG WOMEN'S CHRISTIAN ASSOCIATION CHOI WAN NURSERY SCHOOL,,22.3329688,114.2140518,65,,,,
K_195,Kindergarten,HONG KONG YOUNG WOMEN'S CHRISTIAN ASSOCIATION FAITH HOPE NURSERY SCHOOL,,22.33835439,114.1939204,69,,,,
K_196,Kindergarten,CHRISTIAN & MISSIONARY ALLIANCE FU SHAN NURSERY SCHOOL,,22.34280416,114.2090744,117,,,,
